ID,Company,Count,Address,City,County,State,Zip,Manager,"Recent Activity"
24195,"Kuester HOA Real Estate",207,"130 Ben Casey Dr","Fort Mill","York County",SC,29708,"John Hedrick",2023-04-29T16:56:05+00:00
24186,"Key Community Management",4,"1201 Stallings Road",Matthews,"Union County",NC,28104,"John Hedrick",2023-04-28T19:59:40+00:00
298452,Cicor,1,"1710 Airport Rd",Monroe,"Union County",NC,28110,"Rich Kryhoski",2023-04-28T17:36:20+00:00
24103,"Health Care Realty Services",22,"10508 Park Road",Charlotte,"Mecklenburg County",NC,28210,"Jacob Withers",2023-04-28T16:16:17+00:00
292057,"Stellar Roofing",3,"6758 Northwinds Dr",Houston,"Harris County",TX,77041,"Mike Kennedy",2023-04-28T15:04:15+00:00
73945,"Site Centers - VIP MA 30",47,"3300 Enterprise Pl",Beachwood,"Cuyahoga County",OH,44122,"Mike Kennedy",2023-04-28T14:57:43+00:00
178542,"Crawford Square Real Estate Advisors",9,"2700 2nd Ave S",Birmingham,"Jefferson County",AL,35233,"John Hedrick",2023-04-28T14:38:49+00:00
73323,"New City Church",4,"2500 Carmel Rd",Charlotte,"Mecklenburg County",NC,28226,"Mike Kennedy",2023-04-28T14:37:09+00:00
148095,"Monarch Color Corp.",1,"5327 Brookshire Blvd",Charlotte,"Mecklenburg County",NC,28216,"Mike Kennedy",2023-04-28T14:36:12+00:00
297916,"JL 5811, LLC",1,"16 Academy Ln",Demarest,"Bergen County",NJ,07627,"John Hedrick",2023-04-28T14:35:46+00:00
87639,"Carmel View Investment Advisors LLC",4,"7804 Fairview Rd",Charlotte,"Mecklenburg County",NC,28226,"Mike Kennedy",2023-04-28T14:09:04+00:00
87329,"Graphics International",2,"2318 Crown Center Dr. Charlotte, NC 28227",Charlotte,"Mecklenburg County",NC,28227,"Mike Kennedy",2023-04-28T13:37:24+00:00
24044,"Foundry Commercial Properties",20,"121 West Trade Street",Charlotte,"Mecklenburg County",NC,28202,"John Hedrick",2023-04-28T13:10:28+00:00
136537,"Storage Asset Management",15,"3501 Concord Rd",York,"York County",PA,17402,"Jacob Withers",2023-04-28T12:58:06+00:00
177807,"Kings Mountain State Park",1,"1277 Park Rd",Blacksburg,"York County",SC,29702,"Mike Kennedy",2023-04-28T12:31:08+00:00
24460,"Silver Investments",21,"1805 Sardis Rd N",Charlotte,"Mecklenburg County",NC,28270,"John Hedrick",2023-04-28T12:15:24+00:00
306964,"Spee Dee Oil Change",1,"8226 Pineville-Matthews Rd",Charlotte,"Mecklenburg County",NC,28226,"Jacob Withers",2023-04-28T11:59:46+00:00
74024,"New Forum, Inc.",25,"2127 Ayrsley Town Blvd",Charlotte,"Mecklenburg County",NC,28273,"Mike Kennedy",2023-04-28T11:57:57+00:00
24172,"Johnson C Smith University",17,"100 Beatties Ford Road",Charlotte,"Mecklenburg County",NC,28216,"Jacob Withers",2023-04-28T11:52:29+00:00
23916,"Collett & Associates",55,"1111 Metropolitan Avenue",Charlotte,"Mecklenburg County",NC,28204,"John Hedrick",2023-04-28T11:28:02+00:00
100628,"Hawthortne Residential Partners",1,"806 Green Valley Rd",Greensboro,"Guilford County",NC,27408,"John Hedrick",2023-04-28T10:38:29+00:00
306928,"Newport Steel",1,"2671 Kee-Moore Dr",Chester,"Chester County",SC,29706,"John Hedrick",2023-04-27T18:48:31+00:00
24357,"Primax Properties",9,"1100 East Morehead Street",Charlotte,"Mecklenburg County",NC,28204,"Jacob Withers",2023-04-27T16:22:23+00:00
256220,"West Shore LLC",1,"1 International Pl",Boston,"Suffolk County",MA,02110,"Jacob Withers",2023-04-27T16:17:19+00:00
72790,"YFP Management",4,"600 Towne Centre Blvd",Pineville,"Mecklenburg County",NC,28134,"John Hedrick",2023-04-27T15:17:34+00:00
74367,Steelfab,1,"8623 Old Dowd Rd",Charlotte,"Mecklenburg County",NC,28214,"Mike Kennedy",2023-04-27T13:29:35+00:00
24482,"Spectrum Building Company",8,"142-A S Cardigan Way",Mooresville,"Iredell County",NC,28117,"Jacob Withers",2023-04-27T12:33:14+00:00
152608,"Pleasant Valley Corp",2,"1093 Medina Rd",Medina,"Medina County",OH,44256,"John Hedrick",2023-04-27T11:43:58+00:00
279423,"Excel Trucking",2,"4633 Equipment Dr",Charlotte,"Mecklenburg County",NC,28269,"Mike Kennedy",2023-04-26T19:46:19+00:00
152518,"New Branch Real Estate Advisors",13,"805 Trade Street Northwest",Concord,"Cabarrus County",NC,28027,"Dan Davis",2023-04-26T18:39:34+00:00
223092,"Lake Community Church",1,"7800 Bringle Ferry Rd",Salisbury,"Rowan County",NC,28146,"John Hedrick",2023-04-26T13:28:32+00:00
24167,"Johns Manville",4,"P O Box 5108",Denver,"Henrico County",CO,80217,,2023-04-26T11:59:57+00:00
24348,"Pinnix General Contractors",3,"315 South Street",Gastonia,"Gaston County",NC,28053,"John Hedrick",2023-04-26T11:52:53+00:00
24117,"Historic Cheerwine Building",1,"322 East Council Street",Salisbury,"Rowan County",NC,28144,"John Hedrick",2023-04-25T19:56:28+00:00
55034,"Billy Graham Evangelical Association",1,"1 Billy Graham Pkwy",Charlotte,"Mecklenburg County",NC,28217,"John Hedrick",2023-04-25T19:53:13+00:00
24362,"Providence Group Management Services",34,"300 W Summit Ave",Charlotte,"Mecklenburg County",NC,28203,"John Hedrick",2023-04-25T19:46:25+00:00
23918,"Colliers -Charlotte",12,"Colliers International",Charlotte,"Mecklenburg County",NC,28202,"Dan Davis",2023-04-25T19:43:37+00:00
23876,CBRE,10,"201 S College St",Charlotte,"Mecklenburg County",NC,28202,"John Hedrick",2023-04-25T19:02:31+00:00
74174,"Adrian Properties",14,"PO Box 220214",Charlotte,"Mecklenburg County",NC,28222,"Mike Kennedy",2023-04-25T18:43:02+00:00
25249,"Intertape Polymer Group",2,"13722Bill McGee Rd",Midland,"Cabarrus County",NC,28107,"Jacob Withers",2023-04-25T18:06:45+00:00
174798,CloudKitchens,1,"500 W Summit Ave",Charlotte,"Mecklenburg County",NC,28203,"Jacob Withers",2023-04-25T18:03:24+00:00
35942,"Pleasant Grove Child Development",1,"1915 Oakdale Rd",Charlotte,"Mecklenburg County",NC,28216,"Jacob Withers",2023-04-25T18:01:52+00:00
59776,"Harper Corporation",1,"11625 Steele Creek Rd",Charlotte,"Mecklenburg County",NC,28273,"Jacob Withers",2023-04-25T18:00:46+00:00
24588,"William Douglas Management Company",2,"4523 Park Road",Charlotte,"Mecklenburg County",NC,28209,"John Hedrick",2023-04-25T17:50:52+00:00
249143,"Johnstone Supply",3,"1707 Williams Rd Extension",Monroe,"Union County",NC,28110,"Mike Kennedy",2023-04-25T17:33:27+00:00
24512,"Terracon Consultants, Inc.",50,"2701 Westport Rd",Charlotte,"Mecklenburg County",NC,28208,"John Hedrick",2023-04-25T17:27:28+00:00
24471,"SOS Facility Services Inc",3,"413 Van Loon Lane","Cape Coral","Lee County",FL,33909,"Jacob Withers",2023-04-25T17:24:11+00:00
220435,"Swanson Girard Associates",1,"10420 Southern Loop Boulevard",Pineville,,NC,,,2023-04-25T17:23:35+00:00
24290,"Nederman Mikropul LLC",5,"4404 -A Chesapeake Dr.",Charlotte,"Mecklenburg County",NC,28216,"Jacob Withers",2023-04-25T17:21:41+00:00
22327,"Lincoln Property Company",2,"4401 Barclay Downs Dr",Charlotte,"Mecklenburg County",NC,28209,"John Hedrick",2023-04-25T16:04:36+00:00
24339,"Penske Racing",2,"200 Penske Way",Mooresville,"Iredell County",NC,28115,,2023-04-25T15:03:15+00:00
280833,"Stephen Newman",1,"2537 Providence Hills Dr",Matthews,"Union County",NC,28105,"John Hedrick",2023-04-24T20:44:15+00:00
23787,"Audy Dover",3,"557 Cabarrus Avenue West",Concord,"Cabarrus County",NC,28027,"Dan Davis",2023-04-24T19:29:53+00:00
23923,"Community Association Management, Limited",2,"10590 Independence Pointe Parkway",Matthews,"Mecklenburg County",NC,28105,"Jacob Withers",2023-04-24T19:13:49+00:00
24085,"Greystar  Properties",18,"521 E. Morehead St",Charlotte,"Mecklenburg County",NC,28202,"John Hedrick",2023-04-24T19:12:59+00:00
24158,"Jarrett B Davis",1,"3521 Nancy Creek Road",Charlotte,"Mecklenburg County",NC,28270,"John Hedrick",2023-04-24T19:12:27+00:00
24310,"Nutramax Office Main",5,"1759 Flat Creek Rd",Lancaster,"Lancaster County",SC,29720,"Jacob Withers",2023-04-24T19:09:12+00:00
118425,"Swinerton Builders",2,"901 Berryhill Rd",Charlotte,"Mecklenburg County",NC,28208,"Brandon Runyan",2023-04-24T19:06:39+00:00
24111,"Hermitage/Crown Court Property Manager- Shoe Show, Inc.",5,"2201 Trinity Church Road",Concord,"Cabarrus County",NC,28026,"Jacob Withers",2023-04-24T19:03:42+00:00
291747,"Scott Hillis",3,"4501 Raceway Dr SW",Concord,"Cabarrus County",NC,28027,"Mike Kennedy",2023-04-24T18:56:37+00:00
86452,Pureon,1,Pureon,Monroe,"Union County",NC,28110,"Mike Kennedy",2023-04-24T18:55:34+00:00
306588,"Microban international",1,"11400 Vanstory Dr",Huntersville,"Mecklenburg County",NC,28078,"Jacob Withers",2023-04-24T18:24:38+00:00
23754,"Addison Investments, LLC",2,"1308 West Morehead Street",Charlotte,"Mecklenburg County",NC,28208,,2023-04-24T17:22:12+00:00
73202,"GDR Properties",3,"204 Union St S",Concord,"Cabarrus County",NC,28025,"Jacob Withers",2023-04-24T14:29:24+00:00
24131,"Hughes Realty Advisors",4,"5122 Hyannis Court",Mooresville,"Iredell County",NC,28117,"Jacob Withers",2023-04-24T14:17:56+00:00
24327,"Pappas Properties",4,"4777 Sharon Rd.",Charlotte,"Mecklenburg County",NC,28210,"Dan Davis",2023-04-24T14:04:07+00:00
23989,"Drake Building Maintenance & Restoration",7,"6000 Fairview Rd.  Ste 1200",Charlotte,"Mecklenburg County",NC,282110,,2023-04-24T13:50:41+00:00
36304,"State Employees Credit Union",2,"5555 NC-49",Harrisburg,"Cabarrus County",NC,28075,"Jacob Withers",2023-04-24T13:39:45+00:00
24097,"Harwood Properties LLC",3,"1001 Elizabeth Avenue",Charlotte,"Mecklenburg County",NC,28204,"John Hedrick",2023-04-24T13:38:56+00:00
24208,"Legacy Real Estate Advisors, LLC",8,"1001 Elizabeth Ave",Charlotte,"Mecklenburg County",NC,28204,"John Hedrick",2023-04-24T13:37:23+00:00
24038,"Flywheel Group LLC",4,"4100 Raleigh Street",Charlotte,"Mecklenburg County",NC,28213,"John Hedrick",2023-04-24T13:36:39+00:00
23894,"Charlotte Mecklenburg Board of Education",113,"3301 Stafford Drive",Charlotte,"Mecklenburg County",NC,28202,,2023-04-24T13:19:34+00:00
306502,"Vision General Contractors of GA",1,"802 Burnt Hickory Rd",Cartersville,"Bartow County",GA,30120,"Mike Kennedy",2023-04-24T12:28:16+00:00
176583,"Infinity 260",1,"11120 David Taylor Dr",Charlotte,"Mecklenburg County",NC,28262,"Mike Kennedy",2023-04-21T20:30:06+00:00
292095,"Construction Technology Services",1,"1010 Van Buren Ave","Indian Trail","Union County",NC,28079,"John Hedrick",2023-04-21T15:16:36+00:00
25712,"Cedar Management Group",2,"9500 Statesville Rd",Charlotte,"Mecklenburg County",NC,28269,"Jacob Withers",2023-04-21T13:51:05+00:00
73204,"Atlantic Wood & Timber",2,"2200 Border Dr",Charlotte,"Mecklenburg County",NC,28208,"Dan Davis",2023-04-21T11:52:39+00:00
305576,"The Ginza Group",1,"201 Sigma Dr",Summerville,"Berkeley County",SC,29483,"Mike Kennedy",2023-04-20T21:37:31+00:00
306346,"Huntersville ARP Church",1,"200 N Old Statesville Rd",Huntersville,"Mecklenburg County",NC,28078,"Mike Kennedy",2023-04-20T17:22:19+00:00
24060,"Gais Construction",4,"516 N Hwy 16",Denver,"Lincoln County",NC,28307,"Jacob Withers",2023-04-20T14:19:21+00:00
178435,"Curtin Realty & Investments",1,"130 SC-161",Clover,"York County",SC,29710,"Jacob Withers",2023-04-20T12:21:00+00:00
305844,"Geneva Management",1,"2950 SW 27th Ave",Miami,"Miami-Dade County",FL,33133,"John Hedrick",2023-04-19T15:26:51+00:00
24128,"Hopper Communities",37,"1616 Cleveland Ave",Charlotte,"Mecklenburg County",NC,28203,,2023-04-19T13:26:13+00:00
118583,"Forest Hills Church",2,"7224 Park Rd.",Charlotte,"Mecklenburg County",NC,28210,"Mike Kennedy",2023-04-19T13:04:11+00:00
156782,"Verde Homes",6,"7427 Matthews-Mint Hill Rd","Mint Hill","Mecklenburg County",NC,28227,"Brandon Runyan",2023-04-19T12:53:10+00:00
24405,"Roman Catholic Diocese Of Charlotte",5,"1123 S Church St.",Charlotte,"Mecklenburg County",NC,28203,,2023-04-19T12:47:49+00:00
222548,"The Bowers Group, LLC",3,"450 Crompton St",Charlotte,"Mecklenburg County",NC,28273,"Mike Pienkosz",2023-04-19T11:46:08+00:00
24031,"First Industrial B&L, LLC",20,"101 S. Tryon St.",Charlotte,"Mecklenburg County",NC,28280,"Dan Davis",2023-04-19T11:04:39+00:00
67106,"CBG Construction",1,"5925 Carnegie Blvd #110",Charlotte,,Nc,28209,,2023-04-18T15:50:45+00:00
74175,"EF Lombardi",1,"2101 Freedom Dr",Charlotte,"Mecklenburg County",NC,28208,"Mike Kennedy",2023-04-18T14:44:26+00:00
23949,"Cusick Community Management",16,"8008 Corporate Center Drive",Charlotte,"Mecklenburg County",NC,28226,"John Hedrick",2023-04-18T14:15:49+00:00
23827,"Bottle Cap Group",4,"4321 Stuart Andrew Boulevard",Charlotte,"Mecklenburg County",NC,28217,"John Hedrick",2023-04-18T14:13:53+00:00
177694,"Keach Construction",5,"10200 Industrial Dr",Pineville,"Mecklenburg County",NC,28134,"Jacob Withers",2023-04-18T13:04:22+00:00
250089,"Harkey Land",1,"1822 Sunnyside Ave",Charlotte,"Mecklenburg County",NC,28204,"Mike Kennedy",2023-04-17T18:49:01+00:00
157483,"CD Healthcare Infrastructure LLC",1,"280 Rector Pl","New York","New York County",NY,10280,"Dan Davis",2023-04-17T18:48:19+00:00
24476,"Southern Restoration",22,"648 Matthews-Mint Hill Rd",Matthews,"Mecklenburg County",NC,28105,"John Hedrick",2023-04-17T18:08:43+00:00
222056,"University of South Carolina",0,"1300 Pickens St",Columbia,"Richland County",SC,29208,"Brandon Runyan",2023-04-17T17:42:04+00:00
289963,"Maya Hotels",2,"8632 Wilkinson Blvd",Charlotte,"Mecklenburg County",NC,28214,"Jacob Withers",2023-04-17T15:30:58+00:00
23837,"Burns & Scalo Roofing Co., Inc.",34,"22 Rutgers Road",Pittsburgh,"Allegheny County",PA,15205,"Dan Davis",2023-04-17T14:29:55+00:00
84453,"The Ivey",1,"6030 Park S Dr",Charlotte,"Mecklenburg County",NC,28210,"Mike Kennedy",2023-04-17T14:22:47+00:00
254322,"Scott Farmer",1,"305 Westland Farm Rd","Mt Holly","Gaston County",NC,28120,"Mike Kennedy",2023-04-17T14:16:04+00:00
267187,"Ivybrook Academy",1,"873 Dave Gibson Blvd","Fort Mill","York County",SC,29708,"John Hedrick",2023-04-17T14:15:12+00:00
251493,"Mark Icard",1,"4938 State Hwy 49",Harrisburg,"Cabarrus County",NC,28075,"John Hedrick",2023-04-17T14:14:21+00:00
118523,"Fairbluff Bible Chapel",1,"4650 Fairbluff Pl",Charlotte,"Mecklenburg County",NC,28209,,2023-04-17T14:12:26+00:00
222671,"Retail Contractors",2,"10220 US-19","Port Richey","Pasco County",FL,34668,"Mike Kennedy",2023-04-17T14:05:17+00:00
248957,"Clutch Development",2,"14316 Reese Blvd",Huntersville,"Mecklenburg County",NC,28078,"John Hedrick",2023-04-17T14:01:41+00:00
37062,"Kuester Commercial Real Estate",14,"127 Ben Casey Dr","Fort Mill","York County",SC,29708,"John Hedrick",2023-04-13T20:05:02+00:00
254577,"McEntire Joint National Guard Base",1,"1325 S Carolina Rd",Eastover,"Richland County",SC,29044,"Chris Gore",2023-04-13T19:05:59+00:00
118935,"Komfort Air Service Experts",10,"8107 Arrowridge Blvd Suite Q",charlotte,,NC,,"Jacob Withers",2023-04-13T15:23:36+00:00
24134,"HVAC Technologies",10,"142 S Iredell Industrial Park",Mooresville,"Iredell County",NC,28115,,2023-04-13T15:21:46+00:00
23770,"Andrew Roby General Contractors",5,"2000 W.  Morehead St.",Charlotte,"Mecklenburg County",NC,28208,"John Hedrick",2023-04-13T15:12:35+00:00
24380,"Red Partners",5,"711 Central Avenue",Charlotte,"Mecklenburg County",NC,28204,"John Hedrick",2023-04-13T13:13:17+00:00
298472,"Fourth Stockton Company LLC",1,"230 Chiswick Road Charlotte, NC 28211",,,,,"Jacob Withers",2023-04-13T11:20:46+00:00
24216,"Lincoln Harris",29,"6805 Morrison Blvd.",Charlotte,"Mecklenburg County",NC,28211,"Dan Davis",2023-04-12T19:56:13+00:00
23858,"Carolina Air Solutions",8,"9224 Stockport Place",Charlotte,"Mecklenburg County",NC,28273,,2023-04-12T19:55:25+00:00
305449,"Place Services Inc.",1,"201 gateway drive",Canton,30115,GA,,"Jacob Withers",2023-04-12T19:33:29+00:00
23756,"Advanced Technology Services, INC.",1,"12331 Commerce Station Drive",Huntersville,"Mecklenburg County",NC,28078,"Jacob Withers",2023-04-12T15:15:29+00:00
25176,"Rohm Paint & Construction",6,"714 Montana St Suite B",Charlotte,"Mecklenburg County",NC,28216,"Mike Kennedy",2023-04-12T14:16:08+00:00
23917,"Colliers - South Carolina",6,"2000 Center Point Dr",Columbia,"Richland County",SC,29210,"Dan Davis",2023-04-12T13:37:34+00:00
24086,"Grubb Properties",16,"4601 Park Road",Charlotte,"Mecklenburg County",NC,28209,"John Hedrick",2023-04-12T13:14:21+00:00
223542,"Trinity Episcopal School",1,"750 E 9th St",Charlotte,"Mecklenburg County",NC,28202,"Mike Kennedy",2023-04-12T05:18:52+00:00
246685,"Units Moving and Portable Storage - Johns Island",1,"680 Bear Swamp Rd","Johns Island","Charleston County",SC,29455,"John Hedrick",2023-04-11T18:27:55+00:00
135260,"Units Moving and Portable Storage - Charlotte",1,"5631 Racine Ave",Charlotte,"Mecklenburg County",NC,28269,"Jacob Withers",2023-04-11T18:27:39+00:00
22163,"International Paper & Recycling",2,"201 East 28th Street",Charlotte,"Mecklenburg County",NC,28206,"Jacob Withers",2023-04-11T18:19:46+00:00
24455,"Shirley Hill",2,"3750 Matthews-Weddington Rd.",Matthews,"Union County",NC,28105,"Dan Davis",2023-04-11T13:03:09+00:00
86712,"Fedex Ground",2,"6604 Csx Way",Charlotte,"Mecklenburg County",NC,28214,"Jacob Withers",2023-04-10T19:40:53+00:00
24341,"Perception Builders",0,"115 West Arch Street",Lancaster,"Lancaster County",SC,29720,,2023-04-10T19:02:17+00:00
24531,"Tom Neal",2,"4710 Noras Path",Charlotte,"Mecklenburg County",NC,28226,"John Hedrick",2023-04-10T19:01:33+00:00
149357,"227 Southside LLC Attn: ACRAM Group",1,"227 Southside Dr",Charlotte,"Mecklenburg County",NC,28217,"John Hedrick",2023-04-10T18:51:43+00:00
23803,"Baxter Protective Coating",2,"122 Regency Center Drive",Mooresville,"Iredell County",NC,28117,"Jacob Withers",2023-04-10T18:10:23+00:00
24445,"Selig Enterprises",2,"1100 Spring Street NW",Atlanta,"Fulton County",GA,30309,"Dan Davis",2023-04-10T16:23:06+00:00
23881,CertainTeed,1,"750 E Swedesford Rd","Valley Forge","Chester County",PA,19482,"Jacob Withers",2023-04-06T20:28:34+00:00
24254,"Meadows & Ohly",7,"1718 E 4th St suite 904",Charlotte,"Mecklenburg County",NC,28204,"Jacob Withers",2023-04-06T19:55:07+00:00
66217,"CSI Community Management",8,"575 Davidson Gateway Dr",Davidson,"Mecklenburg County",NC,28036,"John Hedrick",2023-04-06T14:22:31+00:00
233596,"United States Post Office",1,"40704 County Rd 26",Gouverneur,"Jefferson County",NY,13642,"John Hedrick",2023-04-06T00:11:41+00:00
176852,Zepsa,2,"1501 Westinghouse Blvd",Charlotte,"Mecklenburg County",NC,28273,"John Hedrick",2023-04-05T18:55:17+00:00
36907,"ServPro (Fire Division)",3,"9006 Perimeter Woods Drive",Charlotte,"Mecklenburg County",NC,28216,"Jacob Withers",2023-04-05T18:49:23+00:00
175316,"Nine Oaks Investments",0,"433 N Camden Dr","Beverly Hills","Los Angeles County",CA,90210,"John Hedrick",2023-04-05T16:55:23+00:00
24492,"Stone Restoration",5,"2601 Wilkinson Boulevard",Charlotte,"Mecklenburg County",NC,28208,"John Hedrick",2023-04-05T16:51:59+00:00
23895,"Charlotte Metro Credit Union",12,"718 Central Ave",Charlotte,"Mecklenburg County",NC,28204,"John Hedrick",2023-04-05T14:45:12+00:00
298001,"Waste Management",1,"204 Balfour Quarry Rd","Granite Quarry","Rowan County",NC,28146,"John Hedrick",2023-04-04T18:28:23+00:00
24116,"Hissho Sushi",1,"11949 Steele Creek Road",Charlotte,"Mecklenburg County",NC,28273,"Mike Kennedy",2023-04-04T12:41:11+00:00
280939,"MC Moore Construction",1,"4009 Corning Pl",Charlotte,"Mecklenburg County",NC,28216,"Mike Kennedy",2023-04-03T14:56:07+00:00
86682,"Taggart Holdings, LLC",1,"3738 Cypress Club Dr",Charlotte,"Mecklenburg County",NC,28210,"Mike Kennedy",2023-04-03T14:45:27+00:00
24261,"Messer Construction",11,"4201 Stuart Andrew Blvd.",Charlotte,"Mecklenburg County",NC,28217,"Dan Davis",2023-04-03T14:43:15+00:00
281199,"Ritchie Hardware Co",1,"1714 Landfall Dr",Wilmington,"New Hanover County",NC,28405,"Mike Kennedy",2023-04-03T12:14:33+00:00
281257,Auria,1,"1 Austrian Way",Spartanburg,"Spartanburg County",SC,29303,"Mike Kennedy",2023-04-03T12:13:41+00:00
297675,"Path Construction",1,"123 E Algonquin Rd","Arlington Heights","Cook County",IL,60005,"Chris Gore",2023-03-31T15:17:55+00:00
62019,"Morgan Properties",2,"160 Clubhouse Rd","King of Prussia","Montgomery County",PA,19406,"John Hedrick",2023-03-30T19:45:20+00:00
297537,"Pure Power Contractors Inc",1,"2812 Gray Fox Rd",Monroe,"Union County",NC,28110,"John Hedrick",2023-03-30T17:46:25+00:00
254326,"Lincoln Charter School",1,"133 Eagle Nest Rd",Lincolnton,"Lincoln County",NC,28092,"Mike Kennedy",2023-03-30T17:44:51+00:00
177374,"Qure Medical",1,"663 Bryant Blvd","Rock Hill","York County",SC,29732,"Mike Kennedy",2023-03-30T17:42:09+00:00
281381,"American Lock & store",1,"1221 N Wendover Rd",Charlotte,"Mecklenburg County",NC,28211,"Jacob Withers",2023-03-30T17:33:44+00:00
24313,"Oakland Baptist Church",1,"1067 Oakland Ave","Rock Hill","York County",SC,29732,"Jacob Withers",2023-03-30T13:02:02+00:00
292017,"Premier Real Estate Team LLC",1,"210 Oak Ave, Kannapolis, NC",,,,,"Jacob Withers",2023-03-30T10:57:58+00:00
154247,"Insite Properties",1,"1213 W Morehead St",Charlotte,"Mecklenburg County",NC,28208,"Mike Kennedy",2023-03-29T13:04:18+00:00
24284,"Myers & Chapman",2,"1101 Woodridge Center Dr, Ste 160",Charlotte,"Mecklenburg County",NC,28217,"Jacob Withers",2023-03-29T12:52:38+00:00
267555,"Providence Presbyterian",1,"10140 Providence Church Ln",Charlotte,"Mecklenburg County",NC,28277,"John Hedrick",2023-03-28T18:36:13+00:00
282799,"Piedmont Land Development, Inc.",2,"588 Jetton St",Davidson,"Mecklenburg County",NC,28036,"Chris Gore",2023-03-27T20:49:32+00:00
220991,"Gaston County Public Works",3,"325 Dr M.L.K. Jr. Way",Gastonia,"Gaston County",NC,28052,"Mike Kennedy",2023-03-27T19:59:42+00:00
213300,"Plaza Appliance",1,"5419 Monroe Rd",Charlotte,"Mecklenburg County",NC,28212,"John Hedrick",2023-03-27T15:20:38+00:00
